ID,Date,Date,Category,Category ID,Exercise Name,Exercise ID,Weight (lbs),Sets,Reps,Volume (lbs),Workout ID,Workout Type,Workout Type ID,E1RM
177,7/17/2022,2022-07-17,Push,1,Flat Bench Press,1,195,3,5,2925,78,Strength,1,227.5
178,7/18/2022,2022-07-18,Pull,2,Deadlift,4,135,1,5,675,79,Strength,1,157.5
179,7/18/2022,2022-07-18,Pull,2,Deadlift,4,225,1,5,1125,79,Strength,1,262.5
180,7/18/2022,2022-07-18,Pull,2,Deadlift,4,315,3,5,4725,79,Strength,1,367.5
181,7/19/2022,2022-07-19,Legs,3,Barbell Squat,7,135,1,8,1080,80,Strength,1,171
182,7/19/2022,2022-07-19,Legs,3,Barbell Squat,7,225,2,8,3600,80,Strength,1,285
183,7/19/2022,2022-07-19,Legs,3,Barbell Squat,7,275,1,5,675,80,Strength,1,320.8333333
184,7/19/2022,2022-07-19,Legs,3,Barbell Squat,7,295,1,2,590,80,Strength,1,314.6666667
185,7/20/2022,2022-07-20,Push,1,Overhead Press,3,45,1,8,360,81,Strength,1,57
186,7/20/2022,2022-07-20,Push,1,Overhead Press,3,75,1,6,450,81,Strength,1,90
187,7/20/2022,2022-07-20,Push,1,Overhead Press,3,95,3,6,1710,81,Strength,1,114
188,7/21/2022,2022-07-21,Pull,2,Barbell Row,6,135,4,6,3240,82,Strength,1,162
189,7/22/2022,2022-07-22,Rest,0,Rest,0,0,0,0,0,83,Rest,0,0
190,7/23/2022,2022-07-23,Rest,0,Rest,0,0,0,0,0,84,Rest,0,0
191,7/24/2022,2022-07-24,Push,1,Incline Bench Press,2,45,1,8,360,85,Strength,1,57
192,7/24/2022,2022-07-24,Push,1,Incline Bench Press,2,95,1,5,475,85,Strength,1,110.8333333
193,7/24/2022,2022-07-24,Push,1,Incline Bench Press,2,145,3,5,2175,85,Strength,1,169.1666667
194,7/25/2022,2022-07-25,Pull,2,Deadlift,4,135,1,5,675,86,Strength,1,157.5
195,7/25/2022,2022-07-25,Pull,2,Deadlift,4,225,1,5,1125,86,Strength,1,262.5
196,7/25/2022,2022-07-25,Pull,2,Deadlift,4,315,3,5,4725,86,Strength,1,367.5
197,7/26/2022,2022-07-26,Legs,3,Barbell Squat,7,135,1,8,1080,87,Strength,1,171
198,7/26/2022,2022-07-26,Legs,3,Barbell Squat,7,225,2,8,3600,87,Strength,1,285
199,7/26/2022,2022-07-26,Legs,3,Barbell Squat,7,275,1,5,675,87,Strength,1,320.8333333
200,7/26/2022,2022-07-26,Legs,3,Barbell Squat,7,295,1,3,885,87,Strength,1,324.5
201,7/27/2022,2022-07-27,Push,1,Overhead Press,3,45,1,8,360,88,Strength,1,57
202,7/27/2022,2022-07-27,Push,1,Overhead Press,3,95,1,6,570,88,Strength,1,114
203,7/27/2022,2022-07-27,Push,1,Overhead Press,3,115,3,6,2070,88,Strength,1,138
204,7/28/2022,2022-07-28,Pull,2,Barbell Row,6,135,4,6,3240,89,Strength,1,162
205,7/29/2022,2022-07-29,Rest,0,Rest,0,0,0,0,0,90,Rest,0,0
206,7/30/2022,2022-07-30,Rest,0,Rest,0,0,0,0,0,91,Rest,0,0
207,7/31/2022,2022-07-31,Push,1,Flat Bench Press,1,45,1,8,360,92,Strength,1,57
208,7/31/2022,2022-07-31,Push,1,Flat Bench Press,1,135,1,5,675,92,Strength,1,157.5
209,7/31/2022,2022-07-31,Push,1,Flat Bench Press,1,195,3,5,2925,92,Strength,1,227.5
210,8/1/2022,2022-08-01,Pull,2,Deadlift,4,135,1,5,675,93,Strength,1,157.5
211,8/1/2022,2022-08-01,Pull,2,Deadlift,4,225,1,5,1125,93,Strength,1,262.5
212,8/1/2022,2022-08-01,Pull,2,Deadlift,4,315,3,5,4725,93,Strength,1,367.5
213,8/2/2022,2022-08-02,Legs,3,Barbell Squat,7,135,1,8,1080,94,Strength,1,171
214,8/2/2022,2022-08-02,Legs,3,Barbell Squat,7,225,2,8,3600,94,Strength,1,285
215,8/2/2022,2022-08-02,Legs,3,Barbell Squat,7,275,1,5,675,94,Strength,1,320.8333333
216,8/2/2022,2022-08-02,Legs,3,Barbell Squat,7,295,1,3,885,94,Strength,1,324.5
217,8/3/2022,2022-08-03,Push,1,Overhead Press,3,45,1,8,360,95,Strength,1,57
218,8/3/2022,2022-08-03,Push,1,Overhead Press,3,75,1,6,450,95,Strength,1,90
219,8/3/2022,2022-08-03,Push,1,Overhead Press,3,95,3,6,1710,95,Strength,1,114
220,8/4/2022,2022-08-04,Pull,2,Barbell Row,6,135,4,6,3240,96,Strength,1,162
221,8/5/2022,2022-08-05,Rest,0,Rest,0,0,0,0,0,97,Rest,0,0
222,8/6/2022,2022-08-06,Rest,0,Rest,0,0,0,0,0,98,Rest,0,0
223,8/7/2022,2022-08-07,Push,1,Incline Bench Press,2,45,1,8,360,99,Strength,1,57
224,8/7/2022,2022-08-07,Push,1,Incline Bench Press,2,95,1,5,475,99,Strength,1,110.8333333
225,8/7/2022,2022-08-07,Push,1,Incline Bench Press,2,145,3,5,2175,99,Strength,1,169.1666667
226,8/8/2022,2022-08-08,Pull,2,Deadlift,4,135,1,5,675,100,Strength,1,157.5
227,8/8/2022,2022-08-08,Pull,2,Deadlift,4,225,1,5,1125,100,Strength,1,262.5
228,8/8/2022,2022-08-08,Pull,2,Deadlift,4,315,3,5,4725,100,Strength,1,367.5
229,8/9/2022,2022-08-09,Legs,3,Barbell Squat,7,135,1,8,1080,101,Strength,1,171
230,8/9/2022,2022-08-09,Legs,3,Barbell Squat,7,225,2,8,3600,101,Strength,1,285
231,8/9/2022,2022-08-09,Legs,3,Barbell Squat,7,275,1,5,675,101,Strength,1,320.8333333
232,8/9/2022,2022-08-09,Legs,3,Barbell Squat,7,295,1,3,885,101,Strength,1,324.5
